year,month,cpi
2011,September,226.118
2011,October,226.506
2011,November,226.899
2011,December,227.405
2012,January,227.877
2012,February,228.034
2012,March,228.478
2012,April,228.905
2012,May,229.224
2012,June,229.623
2012,July,229.97
2012,August,230.233
2012,September,230.659
2012,October,231.024
2012,November,231.33
2012,December,231.725
2013,January,232.229
2013,February,232.569
2013,March,232.794
2013,April,232.832
2013,May,232.996
2013,June,233.35
2013,July,233.88
2013,August,234.336
2013,September,234.7
2013,October,234.921
2013,November,235.359
2013,December,235.759
2014,January,235.961
2014,February,236.185
2014,March,236.625
2014,April,237.072
2014,May,237.529
2014,June,237.837
2014,July,238.195
2014,August,238.405
2014,September,238.786
2014,October,239.191
2014,November,239.458
2014,December,239.584
2015,January,239.811
2015,February,240.172
2015,March,240.755
2015,April,241.346
2015,May,241.688
2015,June,242.064
2015,July,242.565
2015,August,242.817
2015,September,243.316
2015,October,243.768
2015,November,244.241
2015,December,244.547
2016,January,245.075
2016,February,245.644
2016,March,245.964
2016,April,246.467
2016,May,247.036
2016,June,247.435
2016,July,247.791
2016,August,248.371
2016,September,248.709
2016,October,249.068
2016,November,249.502
2016,December,249.959
2017,January,250.519
2017,February,250.987
2017,March,250.894
2017,April,251.129
2017,May,251.372
2017,June,251.714
2017,July,252.009
2017,August,252.562
2017,September,252.888
2017,October,253.534
2017,November,253.855
2017,December,254.38
2018,January,255.106
2018,February,255.57
2018,March,256.075
2018,April,256.487
2018,May,257.057
2018,June,257.422
2018,July,257.902
2018,August,258.065
2018,September,258.606
2018,October,258.993
2018,November,259.488
2018,December,259.986
2019,January,260.566
2019,February,260.898
2019,March,261.317
2019,April,261.835
2019,May,262.199
2019,June,262.925
2019,July,263.587
2019,August,264.18
2019,September,264.682
2019,October,264.987
2019,November,265.501
2019,December,265.832
2020,January,266.476
2020,February,267.07
2020,March,266.795
