week_ending,week_number,weekly_gross,avg_ticket_price,seats_in_theatre,performances,year,month,holiday_week,Tony_Award
2016-01-17,34,564797.14,84.75,1018,8,2016,January,0,0
2019-07-07,6,398901.2,80.83,637,8,2019,July,0,0
2010-01-10,33,1135065,115.93,1228,8,2010,January,0,0
2019-12-15,29,1071077.91,125.92,1046,8,2019,December,0,0
2016-01-31,36,905360.7,116.69,1026,8,2016,January,0,0
2015-04-26,48,775492,120.87,802,8,2015,April,0,0
2014-11-02,23,855012,95.08,1507,8,2014,November,0,0
2015-03-29,44,1529584,174.79,1066,8,2015,March,0,0
2017-10-01,19,1680306.45,210.17,984,8,2017,October,0,0
2017-09-24,18,668215.5,80.54,1496,8,2017,September,0,0
2011-10-30,22,956800,104.4,1228,8,2011,October,0,0
2014-11-16,25,536449,80.69,1349,8,2014,November,0,0
2018-07-01,5,2012041,149.79,1684,8,2018,July,1,0
2016-08-14,12,999631.61,91.16,1605,8,2016,August,0,0
2016-05-15,51,528127.05,79.26,1031,8,2016,May,0,0
2018-01-28,36,838924.44,103.02,1051,8,2018,January,0,0
2016-02-14,38,1040264.79,91.56,1707,8,2016,February,0,0
2017-02-05,37,1175799,137.14,1066,8,2017,February,0,0
2014-06-15,3,629849,83.97,1166,8,2014,June,0,1
2017-04-16,47,494320,67.44,1047,5,2017,April,0,0
2013-05-12,50,644906,82.38,1439,8,2013,May,0,0
2018-08-12,11,1931445,509.35,948,4,2018,August,0,0
2011-06-26,4,514206,81.85,804,8,2011,June,1,1
2014-06-15,3,806630,99.29,1073,8,2014,June,0,1
2019-10-27,22,2197947,209.45,1302,8,2019,October,0,0
2010-07-11,7,890626,85.24,1470,8,2010,July,0,0
2014-10-05,19,1157229,113.24,1424,8,2014,October,0,0
2013-12-22,30,1005309,92.26,1605,8,2013,December,0,0
2019-04-28,48,1445891.69,127.22,1424,8,2019,April,0,0
2016-07-03,6,917108.9,85.1,1409,8,2016,July,0,0
2017-07-30,10,1155258.5,93.12,1605,8,2017,July,0,0
2015-02-15,38,1132369,150.02,1026,8,2015,February,0,0
2017-06-04,2,802356.5,105.53,1168,8,2017,June,0,1
2016-10-30,23,1261390,145.3,1066,8,2016,October,0,0
2018-07-08,6,736028.68,80.4,1428,8,2018,July,0,0
2012-05-27,52,474432,75.35,1026,8,2012,May,0,0
2012-11-11,24,258593,55.71,728,8,2012,November,0,0
2019-01-06,32,534785,90.26,1039,7,2019,January,1,0
2016-07-31,10,1899742,131.16,1867,8,2016,July,0,0
2012-04-29,48,628523,77.44,1689,8,2012,April,0,0
2019-04-21,47,1421558.72,177.74,984,8,2019,April,0,0
2014-02-09,37,914033,106.47,1051,8,2014,February,0,0
2017-03-05,41,1515568,108.09,1807,8,2017,March,0,0
2016-11-13,25,955175.05,87.4,1432,8,2016,November,0,0
2013-05-05,49,436867,92.79,1042,6,2013,May,0,0
2012-09-02,14,829029,79.81,1605,8,2012,September,0,0
2019-12-08,28,1039046,112.98,1225,8,2019,December,0,0
2015-08-09,11,602761,79.66,1080,8,2015,August,0,0
2017-03-05,41,741370.5,103.78,1026,8,2017,March,0,0
2014-05-11,50,569042,94.12,872,8,2014,May,0,0
2016-07-31,10,311772.95,81.23,753,8,2016,July,0,0
2018-09-16,16,996938.2,84.9,1605,8,2018,September,0,0
2015-08-02,10,1108854,96.59,1432,8,2015,August,0,0
2016-07-17,8,553052.2,120.75,576,8,2016,July,0,0
2017-12-24,31,594625.96,119.28,696,7,2017,December,1,0
2010-12-19,30,1117422,95.79,1747,8,2010,December,0,0
2017-05-28,1,1166545,136.9,1046,8,2017,May,0,0
2013-06-02,1,415088,84.3,1063,8,2013,June,0,1
2011-09-18,16,815653,103.04,1026,8,2011,September,0,0
2018-09-09,15,1070835,130.1,1069,8,2018,September,1,0
2012-11-25,26,496583,119.83,583,8,2012,November,1,0
2017-05-21,52,667486,90.94,1047,8,2017,May,0,0
2010-06-20,4,1620876,112,1809,8,2010,June,1,1
2018-06-17,3,646555.05,86.48,1080,8,2018,June,0,1
2014-06-08,2,439011,72.76,1084,8,2014,June,0,1
2013-09-08,15,802535,116.83,990,8,2013,September,1,0
2014-08-17,12,1139903,158.83,1007,7,2014,August,0,0
2016-05-29,1,534686,84.94,950,8,2016,May,0,0
2015-03-29,44,573548,63.5,1874,8,2015,March,0,0
2016-06-26,5,1371455.05,156.92,1066,8,2016,June,1,1
2013-06-09,2,1411574,123.43,1424,8,2013,June,0,1
2019-10-27,22,881182.62,86.99,1605,8,2019,October,0,0
2018-12-02,27,160862.5,60.61,963,8,2018,December,1,0
2019-11-17,25,965164.3,96.56,1493,8,2019,November,0,0
2010-02-14,38,740580,84.42,1365,8,2010,February,0,0
2014-11-30,27,2422719,178.12,1700,8,2014,November,1,0
2016-12-11,29,973727.7,125.5,1045,8,2016,December,0,0
2015-11-15,25,1284817,112.61,1679,8,2015,November,0,0
2014-12-21,30,973202,158.81,774,8,2014,December,0,0
2011-07-24,8,1111911,83.01,1797,8,2011,July,0,0
2017-07-09,7,450676,81.47,775,8,2017,July,0,0
2010-10-03,19,257506,56.05,772,8,2010,October,0,0
2016-01-31,36,686751.91,80.93,1409,8,2016,January,0,0
2018-06-17,3,1095511.12,113.11,1428,8,2018,June,0,1
2015-05-10,50,434201,70.27,1384,8,2015,May,0,0
2017-10-08,20,798218.45,101.04,1044,8,2017,October,0,0
2015-07-12,7,469559,89.97,722,8,2015,July,0,0
2015-09-27,18,886004,115.92,1047,8,2015,September,0,0
2011-05-22,52,1148314,131.45,1066,8,2011,May,0,0
2015-11-15,25,1467772,108.45,1727,8,2015,November,0,0
2013-12-08,28,1190187,107.01,1432,8,2013,December,0,0
2014-04-27,48,569833,84.43,1059,8,2014,April,0,0
2012-12-09,28,351456,80.04,1079,8,2012,December,0,0
2019-06-09,2,1870949.18,160.62,1435,8,2019,June,0,1
2010-09-19,17,828154,90.27,1470,8,2010,September,0,0
2014-06-29,5,1623495,141.62,1422,8,2014,June,1,1
2010-09-19,17,559114,84.75,1214,8,2010,September,0,0
2013-01-13,33,679850,88.99,1439,8,2013,January,0,0
2017-07-16,8,719078.55,94.8,1044,8,2017,July,0,0
2017-01-15,34,1424693.5,103.89,1727,8,2017,January,0,0
2011-02-20,39,1144030,96.86,1709,8,2011,February,0,0
2013-06-02,1,895419,90.91,1751,8,2013,June,0,1
2015-08-16,12,882154,96.91,1424,8,2015,August,0,0
2018-08-05,10,1147756.5,131.96,1047,8,2018,August,0,0
2019-10-27,22,1242732,93.97,1727,8,2019,October,0,0
2017-04-16,47,1146839.2,119.94,1679,7,2017,April,0,0
2017-05-21,52,1120134.5,120.9,1143,8,2017,May,0,0
2017-01-22,35,334266.6,68.71,658,8,2017,January,0,0
2013-06-23,4,421556,93.22,583,8,2013,June,1,1
2019-08-11,11,725499.57,70.58,1738,8,2019,August,0,0
2014-10-26,22,417186,80.99,1059,8,2014,October,0,0
2019-12-01,27,1202520.04,141.12,1046,8,2019,December,1,0
2017-01-29,36,1275539,93.13,1727,8,2017,January,0,0
2016-02-07,37,754543,86.77,1679,8,2016,February,0,0
2015-05-17,51,1208230,138.57,1073,8,2015,May,0,0
2011-10-30,22,637776,71.75,1797,8,2011,October,0,0
2017-11-19,26,1329098,155.74,1046,8,2017,November,1,0
2017-12-10,29,1033058,95.98,1605,8,2017,December,0,0
2010-02-28,40,455500,59.99,1344,8,2010,February,0,0
2019-10-20,21,204624.13,45.46,585,8,2019,October,0,0
2018-01-14,34,879440.5,80.05,1610,8,2018,January,0,0
2012-04-08,45,1364848,98.5,1797,8,2012,April,0,0
2019-02-24,39,2017833,148.72,1696,8,2019,February,0,0
2014-11-02,23,217819,61.1,650,8,2014,November,0,0
2017-05-14,51,853434.1,93.31,1397,8,2017,May,0,0
2013-05-19,51,499762,83.78,916,8,2013,May,0,0
2017-10-15,21,888258.6,93.43,1523,8,2017,October,0,0
2011-07-03,5,1005341,77.63,1797,8,2011,July,1,0
2019-07-21,8,766092.25,70.59,1738,8,2019,July,0,0
2018-07-22,8,800001.5,103.25,1470,8,2018,July,0,0
2012-06-17,3,451082,78.18,951,8,2012,June,0,1
2016-09-25,18,876282.2,118.24,1045,8,2016,September,0,0
2012-10-28,22,578501,85.75,1069,8,2012,October,0,0
2019-01-13,33,1134381.8,111.32,1380,8,2019,January,0,0
2017-08-20,13,888426.64,101.76,1138,8,2017,August,0,0
2015-07-19,8,709588,95.5,1228,8,2015,July,0,0
2018-04-01,45,2246997.5,167.4,1680,8,2018,April,0,0
2012-01-01,31,460420,97.82,1058,8,2012,January,1,0
2012-09-23,17,970686,120.43,1058,8,2012,September,0,0
2010-06-27,5,1551798,115.59,1677,8,2010,June,1,1
2016-10-30,23,1242291.55,131.2,1177,8,2016,October,0,0
2019-01-06,32,1232861,141.85,1047,8,2019,January,1,0
2013-12-08,28,863893,88.32,1605,8,2013,December,0,0
2017-02-05,37,841270.86,109.74,1044,8,2017,February,0,0
2012-06-24,4,1219699,119.32,1612,8,2012,June,1,1
2012-03-25,43,979435,104.11,1228,8,2012,March,0,0
2017-07-02,6,711344.98,109.24,1026,8,2017,July,0,0
2017-12-03,28,689133.5,92.15,977,4,2017,December,0,0
2016-03-20,43,981647.11,88.66,1605,8,2016,March,0,0
2012-12-02,27,976184,95.74,1515,8,2012,December,1,0
2016-11-27,27,1306272.5,140.84,1178,8,2016,November,1,0
2019-11-03,23,514428.5,96.48,998,8,2019,November,0,0
2010-05-09,50,531617,67.4,1344,8,2010,May,0,0
2014-06-08,2,636215,74.78,1185,8,2014,June,0,1
2010-11-07,24,491030,88.27,931,8,2010,November,0,0
2011-06-12,2,555229,79.88,1080,8,2011,June,0,1
2011-08-21,12,995750,116.44,1069,8,2011,August,0,0
2017-10-01,19,2941667,273.54,1321,8,2017,October,0,0
2017-03-05,41,1053015,140.42,957,8,2017,March,0,0
2015-07-12,7,2308891,170.32,1696,8,2015,July,0,0
2018-02-04,37,1174702.4,160.98,1045,8,2018,February,0,0
2016-03-06,41,661446.5,96.35,1424,8,2016,March,0,0
2018-01-14,34,1296339,151.92,1046,8,2018,January,0,0
2019-02-17,38,713924.7,95.66,1026,8,2019,February,0,0
2010-10-17,21,251376,57.55,740,8,2010,October,0,0
2013-09-08,15,595536,70.06,1421,8,2013,September,1,0
2014-03-02,40,743843,77.97,1751,8,2014,March,0,0
2014-08-10,11,2059477,133.73,1928,8,2014,August,0,0
2010-12-05,28,234199,56.38,772,8,2010,December,0,0
2010-02-21,39,329808,64.34,650,8,2010,February,0,0
2015-09-06,15,1697070,158.52,1321,8,2015,September,1,0
2010-04-25,48,167083,62.79,589,8,2010,April,0,0
2013-06-09,2,782041,102.08,1059,8,2013,June,0,1
2017-07-30,10,635154.75,84.41,1080,8,2017,July,0,0
2010-12-12,29,300383,62.13,1002,8,2010,December,0,0
2019-10-20,21,1018056.3,97.61,1602,8,2019,October,0,0
2013-07-21,8,1147544,90.77,1605,8,2013,July,0,0
2016-11-27,27,618812.46,98.6,911,8,2016,November,1,0
2010-05-30,1,526435,78.22,1080,8,2010,May,0,0
2016-05-22,52,809895.55,82.06,1707,8,2016,May,0,0
2016-10-23,22,881156.4,87.87,1626,8,2016,October,0,0
2012-09-09,15,685991,99.43,1063,8,2012,September,1,0
2016-10-09,20,2055928,152.56,1696,8,2016,October,0,0
2013-01-20,34,793300,97.87,1195,8,2013,January,0,0
2012-07-08,6,202489,47.82,650,8,2012,July,0,0
2017-11-12,25,1680818.2,210.31,984,8,2017,November,0,0
2012-04-08,45,488030,94.62,1335,8,2012,April,0,0
2014-10-19,21,719254,115.86,893,8,2014,October,0,0
2013-06-09,2,791577,145.89,777,7,2013,June,0,1
2016-02-07,37,1058989.2,99.96,1626,8,2016,February,0,0
2010-03-21,43,597681,78.59,997,8,2010,March,0,0
2013-02-24,39,1212082,93.63,1930,8,2013,February,0,0
2014-11-30,27,1115935,84.56,1751,8,2014,November,1,0
2014-09-14,16,1725567,128.03,1700,8,2014,September,0,0
2012-04-22,47,836141,77.31,1605,8,2012,April,0,0
2011-08-07,10,999773,83.31,1615,8,2011,August,0,0
2010-06-06,2,432088,80.61,997,8,2010,June,0,1
2011-05-15,51,311450,81.11,922,6,2011,May,0,0
2016-01-31,36,682534,98.55,1047,8,2016,January,0,0
2017-04-16,47,1087151.4,127.35,1046,8,2017,April,0,0
2010-05-23,52,584724,69.37,1344,8,2010,May,0,0
2019-03-24,43,770760.5,106.43,1069,8,2019,March,0,0
2016-06-19,4,676588,91.21,1047,8,2016,June,1,1
2019-09-22,17,410703.63,92.48,651,8,2019,September,0,0
2019-08-25,13,2074579,166.22,1696,8,2019,August,0,0
2012-07-22,8,1066049,109.72,1195,8,2012,July,0,0
2014-12-14,29,900826,96.5,1432,8,2014,December,0,0
2012-06-17,3,479201,73.18,1026,8,2012,June,0,1
2014-02-16,38,606324,92.65,1073,8,2014,February,0,0
2014-11-30,27,2432132,154.78,1809,9,2014,November,1,0
2015-01-11,33,1086042,104.67,1507,8,2015,January,0,0
2014-11-30,27,1011459,109.94,1507,8,2014,November,1,0
2012-03-04,40,482165,71.5,1755,8,2012,March,0,0
2016-10-30,23,705543.6,92.51,1626,8,2016,October,0,0
2019-04-21,47,1396581.64,123.79,1424,8,2019,April,0,0
2014-11-30,27,670217,97.88,990,8,2014,November,1,0
2011-07-24,8,700074,84.46,1689,8,2011,July,0,0
2011-08-14,11,768797,75.22,1519,8,2011,August,0,0
2014-04-06,45,341175,72.48,1019,8,2014,April,0,0
2017-08-13,12,824014.5,89.78,1375,8,2017,August,0,0
2015-06-28,5,973337,121.03,1018,8,2015,June,1,1
2019-12-08,28,1037684.74,133.19,984,8,2019,December,0,0
2014-01-19,34,527598,87.79,907,8,2014,January,0,0
2013-01-06,32,519744,79.1,1038,8,2013,January,1,0
2018-12-30,31,244596,73.92,585,8,2018,December,1,0
2016-07-17,8,1780497,127.46,1807,8,2016,July,0,0
2016-09-04,15,993375.5,104.47,1375,8,2016,September,1,0
2017-08-06,11,739170.7,89.24,1073,8,2017,August,0,0
2015-08-09,11,524248,81.38,907,8,2015,August,0,0
2011-03-27,44,962081,78.94,1615,8,2011,March,0,0
2015-08-23,13,308474,60.94,1162,8,2015,August,0,0
2016-06-05,2,685321,83.16,1409,8,2016,June,0,1
2015-10-18,21,344764,62.97,802,4,2015,October,0,0
2016-05-15,51,516920.33,82.58,1080,8,2016,May,0,0
2010-09-19,17,902890,89.71,1747,8,2010,September,0,0
2017-07-09,7,1069773,140.39,1066,7,2017,July,0,0
2019-12-22,30,1850982.5,203.09,1302,7,2019,December,0,0
2017-10-15,21,2930747,272.55,1321,8,2017,October,0,0
2017-10-15,21,1090447.96,91.37,1605,8,2017,October,0,0
2013-06-30,5,1124860,89.56,1605,8,2013,June,1,1
2014-02-09,37,1284663,121.11,1424,8,2014,February,0,0
2016-08-28,14,810486.13,88.43,1605,8,2016,August,0,0
2018-11-04,23,1065416,121.54,1168,8,2018,November,0,0
2016-10-23,22,915484.8,86.87,1605,8,2016,October,0,0
2012-09-16,16,962514,101.84,1228,8,2012,September,0,0
2015-05-03,49,776373,121.29,802,8,2015,May,0,0
2011-07-31,9,682180,71.51,1422,8,2011,July,0,0
2018-11-11,24,686515,93.59,1470,8,2018,November,0,0
2010-11-07,24,452976,83.21,1214,8,2010,November,0,0
2017-04-16,47,845785.35,98.26,1080,8,2017,April,0,0
2017-12-10,29,1010185,96.47,1496,8,2017,December,0,0
2014-06-08,2,731949,87.71,1630,8,2014,June,0,1
2015-06-21,4,890098,124.39,1006,8,2015,June,1,1
2019-05-05,49,818903.5,81.19,1493,8,2019,May,0,0
2011-07-24,8,377204,85.28,583,8,2011,July,0,0
2019-09-08,15,927259.5,78.88,1684,8,2019,September,1,0
2011-02-27,40,988839,76.57,1797,8,2011,February,0,0
2019-06-16,3,517450.4,112.96,583,8,2019,June,0,1
2012-09-30,18,1007256,121.59,1058,8,2012,September,0,0
2014-02-02,36,343596,64.94,1166,8,2014,February,0,0
2010-06-27,5,526973,80.44,1041,8,2010,June,1,1
2015-10-11,20,708028,89.28,1080,8,2015,October,0,0
2010-11-28,27,600092,82.67,1709,8,2010,November,1,0
2011-10-16,20,1333950,152.42,1066,8,2011,October,0,0
2017-07-23,9,1143127.9,90.47,1605,8,2017,July,0,0
2019-12-08,28,884132.2,116.64,1045,8,2019,December,0,0
2011-06-26,4,1215619,138.9,1068,8,2011,June,1,1
2014-07-06,6,1237182,114.68,1424,8,2014,July,0,0
2019-07-14,7,519142,85.44,1026,8,2019,July,0,0
2012-03-11,41,767945,75.22,1605,8,2012,March,0,0
2011-09-04,14,711702,88.94,1421,8,2011,September,0,0
2014-12-21,30,1862009,212.95,1066,8,2014,December,0,0
2010-12-12,29,972959,98.24,1470,8,2010,December,0,0
2014-10-19,21,409597,70.67,1061,8,2014,October,0,0
2015-07-12,7,358327,67.85,1012,8,2015,July,0,0
2016-05-22,52,492566,69.26,1044,8,2016,May,0,0
2017-03-26,44,806789.5,86.45,1375,8,2017,March,0,0
2013-09-01,14,773583,85.77,1498,8,2013,September,0,0
2016-10-02,19,794455.51,84.77,1495,8,2016,October,0,0
2019-02-10,37,911699.9,107.32,1046,8,2019,February,0,0
2019-05-19,51,1066182.85,123.52,1047,8,2019,May,0,0
2013-12-22,30,1037800,87.73,1421,8,2013,December,0,0
2014-04-20,47,463064,56.39,1073,1,2014,April,0,0
2018-05-06,50,3101303,288.31,1321,8,2018,May,0,0
2013-03-03,40,1431205,113.27,1677,8,2013,March,0,0
2013-12-08,28,393840,88.74,761,8,2013,December,0,0
2019-09-29,18,1376195,109.19,1807,8,2019,September,0,0
2011-04-03,45,419383,59.95,1709,8,2011,April,0,0
2018-10-21,21,2216979,163.93,1696,8,2018,October,0,0
2019-02-24,39,348721.6,79.69,637,8,2019,February,0,0
2013-06-02,1,256480,56.31,740,8,2013,June,0,1
2011-05-01,49,423787,83.05,650,8,2011,May,0,0
2012-04-01,44,316010,82.86,708,8,2012,April,0,0
2016-09-04,15,1408374,116.2,1807,8,2016,September,1,0
2014-07-27,9,822516,88.6,1311,8,2014,July,0,0
2019-12-01,27,2018899.36,174.75,1435,8,2019,December,1,0
2016-07-17,8,727877.5,75.58,1707,8,2016,July,0,0
2015-12-06,28,1369904,128.16,1679,8,2015,December,0,0
2012-06-17,3,562010,75.94,1505,8,2012,June,0,1
2016-06-05,2,672539.5,77.54,1707,8,2016,June,0,1
2017-06-04,2,1171370.61,130.36,1138,8,2017,June,0,1
2015-04-26,48,436173,81.53,740,8,2015,April,0,0
2019-04-07,45,1337082.55,122.19,1424,8,2019,April,0,0
2012-12-30,31,1002121,96.39,1334,8,2012,December,1,0
2013-11-03,23,331348,68.36,1319,8,2013,November,0,0
2015-04-26,48,724981,79.6,1409,8,2015,April,0,0
2015-02-01,36,1423750,164.1,1066,8,2015,February,0,0
2014-09-21,17,1356354,106.85,1809,8,2014,September,0,0
2017-06-11,3,1385059.3,163.8,1045,8,2017,June,0,1
2011-07-10,6,739871,80.22,1755,8,2011,July,0,0
2014-01-12,33,1113620,112.35,1507,8,2014,January,0,0
2017-08-20,13,880763.5,95.37,1496,8,2017,August,0,0
2015-06-21,4,1625997,117.89,1723,8,2015,June,1,1
2019-06-16,3,3184710,295.98,1321,8,2019,June,0,1
2010-06-20,4,1339693,115.59,1519,8,2010,June,1,1
2019-12-08,28,1929278,132.85,1867,8,2019,December,0,0
2015-02-01,36,369342,72.59,1174,8,2015,February,0,0
2017-12-31,32,875639,119.56,1051,7,2017,December,1,0
2011-02-06,37,1094515,135.63,1152,7,2011,February,0,0
2014-09-28,18,395194,76.89,1061,8,2014,September,0,0
2012-09-16,16,982878,118.03,1058,8,2012,September,0,0
2016-06-26,5,2113062,155.72,1696,8,2016,June,1,1
2012-11-25,26,701152,101.84,1069,8,2012,November,1,0
2017-03-19,43,1569251.5,114.72,1727,8,2017,March,0,0
2015-11-15,25,546286,82.98,1080,8,2015,November,0,0
2018-07-22,8,736537.75,101.06,1026,8,2018,July,0,0
2019-09-08,15,1910723.84,164.6,1435,8,2019,September,1,0
2017-08-13,12,1248038,143.04,1066,8,2017,August,0,0
2014-02-02,36,978954,100.99,1507,8,2014,February,0,0
2010-12-12,29,1645313,115.78,1809,8,2010,December,0,0
2018-10-07,19,1163986.79,94.9,1605,8,2018,October,0,0
2011-07-10,6,956355,98.91,1228,8,2011,July,0,0
2012-11-04,23,651908,103.67,1228,6,2012,November,0,0
2014-06-22,4,891861,76.75,1751,8,2014,June,1,1
2013-06-09,2,867823,92.99,1185,8,2013,June,0,1
2018-03-11,42,2396015,505.49,948,5,2018,March,0,0
2010-04-18,47,322117,63.31,772,8,2010,April,0,0
2017-07-02,6,1342157.13,167.98,984,8,2017,July,0,0
2018-11-25,26,564584.3,92.09,1045,8,2018,November,1,0
2015-12-13,29,696030,83.16,1051,4,2015,December,0,0
2010-01-10,33,1195293,115.29,1421,8,2010,January,0,0
2019-04-28,48,997823.3,105.1,1380,8,2019,April,0,0
2019-10-20,21,353407.34,79.65,1016,7,2019,October,0,0
2012-12-30,31,2158595,219.24,1066,9,2012,December,1,0
2012-09-09,15,416594,60.18,1334,8,2012,September,1,0
2018-08-12,11,969895.02,116.69,1039,8,2018,August,0,0
2018-05-27,53,891114.1,117.21,1045,8,2018,May,0,0
2015-06-07,2,493263,49.25,1874,8,2015,June,0,1
2015-12-20,30,507254,86.28,1018,8,2015,December,0,0
2018-03-25,44,1146636.1,93.87,1605,8,2018,March,0,0
2018-04-08,46,864349.75,75.79,1755,8,2018,April,0,0
2014-01-26,35,499786,84.21,907,8,2014,January,0,0
2013-05-12,50,1692483,193.38,1066,8,2013,May,0,0
2019-06-30,5,1017707.3,118.01,1047,8,2019,June,1,1
2019-03-10,41,759669.5,103.55,1069,8,2019,March,0,0
2014-03-16,42,432707,77.87,907,8,2014,March,0,0
2010-02-28,40,399741,92.66,1041,8,2010,February,0,0
2012-05-06,49,409873,67.34,951,8,2012,May,0,0
2018-07-22,8,563828.4,105.43,696,8,2018,July,0,0
2011-10-02,18,1046561,107.31,1228,8,2011,October,0,0
2019-11-10,24,394295,78.58,1016,7,2019,November,0,0
2015-06-21,4,587784,90.92,907,8,2015,June,1,1
2011-10-02,18,806189,71.57,1615,8,2011,October,0,0
2013-11-10,24,810162,80.73,1583,8,2013,November,0,0
2015-05-31,1,548136,100.83,1383,8,2015,May,0,0
2018-03-25,44,1670888.61,209.94,984,8,2018,March,0,0
2011-09-11,15,757240,90.68,1424,8,2011,September,1,0
2010-03-14,42,1505286,104.01,1809,8,2010,March,0,0
2018-12-02,27,883873.8,90.68,1605,8,2018,December,1,0
2014-05-18,51,1514754,133.97,1424,8,2014,May,0,0
2019-09-22,17,1846698,140.31,1696,8,2019,September,0,0
2013-12-22,30,538081,67.9,1411,8,2013,December,0,0
2015-03-08,41,1450034,111.11,1700,8,2015,March,0,0
2016-10-09,20,620723.95,85.02,1080,8,2016,October,0,0
2017-12-03,28,1045172.6,134.58,1045,8,2017,December,0,0
2019-04-28,48,795890.8,100.06,998,8,2019,April,0,0
2010-12-05,28,697675,81.3,1697,8,2010,December,0,0
2012-12-09,28,533874,98.88,951,8,2012,December,0,0
2013-01-20,34,380259,64.18,1004,8,2013,January,0,0
2012-05-20,51,209210,54.06,1079,8,2012,May,0,0
2015-05-24,52,659426,99.16,1077,8,2015,May,0,0
2012-12-02,27,473722,110.4,583,8,2012,December,1,0
2011-10-09,19,1338080,152.89,1066,8,2011,October,0,0
2010-11-21,26,441617,86.93,1057,8,2010,November,1,0
2018-04-08,46,896624.22,110.57,1039,8,2018,April,0,0
